Company,Rating,Review
Other,4.1,1
Robert Bosch,4.2,13
Fareportal,3.6,943
The Smart Cube,4.1,543
TaskUs,4.6,10
ADP,4.0,16
Futures First,4.2,673
Artech L.L.C.,4.1,1
Incedo,4.1,966
Cushman & Wakefield,3.7,3
CARS24.com,4.0,847
Siemens Digital Industries Software,4.1,2
IndusInd Bank,3.4,1
Emerson,3.8,5
PTC,4.1,2
Compunnel,4.4,475
JustDial,3.6,1
Shell,4.1,11
Mazars,3.8,3
TechnipFMC,3.9,3
Colt Technology Services,4.3,1
Collegedunia,3.7,929
EMPLOYERS,4.1,238
KPIT Technologies,3.6,3
Airbnb,4.3,2
Tata Communications,4.0,2
Jaro Education,3.9,1
Cargill,4.0,5
Infosys BPM,3.6,4
Capgemini Invent,4.1,2
Agilent Technologies,4.2,2
ByteDance,4.1,2
ABCDEF,3.9,1
Medtronic,4.1,7
Anonymous,3.8,2
Xebia,4.0,662
Orange Business Services,4.0,1
Swiggy,4.2,1
NEC Corporation India,3.7,720
Hays,3.7,5
Marks & Spencer,3.8,7
VMware,4.5,9
Accolite Digital,4.1,941
Texas Instruments,4.3,4
Evelyn,4.1,581
Mahindra,4.1,3
Adecco,3.7,7
Honda,3.9,3
Continental,4.1,6
ICICI Prudential Life Insurance,4.3,2
Innovaccer,3.7,500
Lido,3.0,846
G4S,3.3,3
Xavient,3.6,489
Alcatel-Lucent,4.0,2
TSYS|Total System Services,3.6,1
Rivigo,3.4,870
Square Yards,3.1,1
Government of India,4.3,1
Samsung India Electronics,3.8,865
IndiGo,3.6,871
Aristocrat Technologies,4.1,742
Majorel,3.6,2
Ogilvy,3.7,3
Webhelp,3.3,2
Boston Scientific,4.2,3
British Airways,3.3,2
Aegis,3.4,1
Spectrum,3.3,12
Tavant,4.3,1
Verizon,3.9,29
Landis+Gyr,3.6,875
Virtual Employee,4.1,609
Keysight Technologies,4.2,1
IDEMIA,3.7,1
Pyramid Consulting,3.9,1
Lenskart Solutions,4.1,923
The Home Depot,3.8,39
General Motors (GM),4.0,10
Impetus Technologies,4.0,815
GE Healthcare,4.2,5
Serco Group,3.2,2
Zara,3.5,8
Tata Steel,4.1,2
Edelman,3.7,3
Bharat Heavy Electricals,4.0,1
Indus Valley Partners,3.2,398
CRISIL,3.9,2
Planet Spark,3.8,632
SoftwareONE,4.1,932
NTT Ltd.,3.9,3
EPAM Systems,4.4,5
Asian Paints,4.0,1
Credit Suisse,3.8,9
Ebix,3.2,896
Schlumberger,3.9,10
Max Life Insurance,4.1,795
DENSO,3.4,1
Daffodil Software,3.8,453
Novartis,4.1,7
Blinkit,3.8,575
Société Générale,3.7,8
QA InfoTech,3.7,476
GroupM,3.9,1
UBS,3.9,11
Test,4.1,1
Vedantu,3.4,1
Thermo Fisher Scientific,3.8,7
upGrad,3.7,1
Hilti Group,4.0,2
Polaris FT,3.8,1
GLG,3.7,1
Nityo Infotech,3.7,1
BD,3.9,4
Aakash Educational Services,3.8,768
TELUS,4.0,6
